muni_code,muni_name,muni_long_name,province,muni_category,miif_category,num_taxpayers,taxable_income_rm,avg_taxable_income,total_capex_rm,total_budget_rm,spending_ratio,underspend_pct,opinion_code,opinion_label,governance_score,uifw_total_rm,uifw_pct_budget
KZN435,Umzimkhulu,"Umzimkhulu, Kwazulu-Natal",KwaZulu-Natal,B,B4,5319.0,1358.0,255311.0,150.74,191.35,0.788,21.2,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,21.39,11.18
KZN436,Dr Nkosazana Dlamini Zuma,"Dr Nkosazana Dlamini Zuma, Kwazulu-Natal",KwaZulu-Natal,B,B3,2532.0,627.0,247630.0,110.15,166.16,0.663,33.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,11.13,6.7
LIM331,Greater Giyani,"Greater Giyani, Limpopo",Limpopo,B,B4,10138.0,2920.0,288025.0,129.44,256.74,0.504,49.6,qualified,Qualified,3.0,61.96,24.13
LIM332,Greater Letaba,"Greater Letaba, Limpopo",Limpopo,B,B4,4346.0,1242.0,285780.0,155.27,202.86,0.765,23.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,54.7,26.96
LIM333,Greater Tzaneen,"Greater Tzaneen, Limpopo",Limpopo,B,B4,17744.0,5298.0,298580.0,149.58,355.9,0.42,58.0,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,50.82,14.28
LIM334,Ba-Phalaborwa,"Ba-Phalaborwa, Limpopo",Limpopo,B,B3,9877.0,3673.0,371874.0,86.48,157.88,0.548,45.2,qualified,Qualified,3.0,55.76,35.32
LIM335,Maruleng,"Maruleng, Limpopo",Limpopo,B,B4,3813.0,1078.0,282717.0,111.36,202.91,0.549,45.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,73.44,36.19
LIM341,Musina,"Musina, Limpopo",Limpopo,B,B3,4071.0,1336.0,328175.0,31.96,85.68,0.373,62.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,23.24,27.12
LIM342,Mutale,"Mutale, Limpopo",Limpopo,B,B4,,,,,,,,,,,,
LIM343,Thulamela,"Thulamela, Limpopo",Limpopo,B,B4,27756.0,8280.0,298314.0,190.21,285.24,0.667,33.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.2,0.07
LIM344,Makhado,"Makhado, Limpopo",Limpopo,B,B4,20407.0,6024.0,295193.0,177.96,448.5,0.397,60.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.0,0.0
LIM345,Collins Chabane,"Collins Chabane, Limpopo",Limpopo,B,B4,9849.0,2731.0,277287.0,316.88,411.83,0.769,23.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,127.8,31.03
LIM351,Blouberg,"Blouberg, Limpopo",Limpopo,B,B4,4394.0,1181.0,268776.0,69.35,130.41,0.532,46.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,30.29,23.23
LIM352,Aganang,"Aganang, Limpopo",Limpopo,B,B4,,,,,,,,,,,,
LIM353,Molemole,"Molemole, Limpopo",Limpopo,B,B4,2001.0,581.0,290355.0,81.78,100.25,0.816,18.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,2.33,2.32
LIM354,Polokwane,"Polokwane, Limpopo",Limpopo,B,B1,59936.0,19734.0,329251.0,1391.67,1950.94,0.713,28.7,qualified,Qualified,3.0,687.21,35.22
LIM355,Lepelle-Nkumpi,"Lepelle-Nkumpi, Limpopo",Limpopo,B,B4,13236.0,3776.0,285283.0,75.48,214.24,0.352,64.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,267.65,124.93
LIM361,Thabazimbi,"Thabazimbi, Limpopo",Limpopo,B,B3,8151.0,3046.0,373696.0,103.01,156.96,0.656,34.4,qualified,Qualified,3.0,112.8,71.87
LIM362,Lephalale,"Lephalale, Limpopo",Limpopo,B,B3,12122.0,3668.0,302590.0,205.3,332.63,0.617,38.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,23.1,6.94
LIM364,Mookgopong,"Mookgopong, Limpopo",Limpopo,B,B3,,,,,,,,,,,,
LIM365,Modimolle,"Modimolle, Limpopo",Limpopo,B,B3,,,,,,,,,,,,
LIM366,Bela Bela,"Bela Bela, Limpopo",Limpopo,B,B3,4491.0,1146.0,255177.0,84.67,138.86,0.61,39.0,outstanding,Outstanding,0.0,86.28,62.13
LIM367,Mogalakwena,"Mogalakwena, Limpopo",Limpopo,B,B2,15378.0,4931.0,320653.0,206.63,393.84,0.525,47.5,qualified,Qualified,3.0,829.81,210.7
LIM368,Modimolle-Mookgopong,"Modimolle-Mookgopong, Limpopo",Limpopo,B,B3,5503.0,1271.0,230965.0,101.95,193.21,0.528,47.2,qualified,Qualified,3.0,195.39,101.13
LIM471,Ephraim Mogale,"Ephraim Mogale, Limpopo",Limpopo,B,B4,5101.0,1193.0,233876.0,84.58,158.99,0.532,46.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,10.92,6.87
LIM472,Elias Motsoaledi,"Elias Motsoaledi, Limpopo",Limpopo,B,B4,11040.0,2772.0,251087.0,96.46,166.02,0.581,41.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,120.51,72.59
LIM473,Makhuduthamaga,"Makhuduthamaga, Limpopo",Limpopo,B,B4,7327.0,2026.0,276512.0,2299.3,235.51,9.763,-876.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,100.5,42.67
LIM474,Fetakgomo,"Fetakgomo, Limpopo",Limpopo,B,B4,,,,,,,,,,,,
LIM475,Greater Tubatse,"Greater Tubatse, Limpopo",Limpopo,B,B4,,,,,,,,,,,,
LIM476,Tubatse Fetakgomo,"Tubatse Fetakgomo, Limpopo",Limpopo,B,B4,18443.0,5748.0,311663.0,202.12,395.57,0.511,48.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,239.73,60.6
MAN,Mangaung,"Mangaung, Free State",Free State,A,A,100535.0,30659.0,304958.0,2247.78,1875.53,1.198,-19.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,780.56,41.62
MP301,Albert Luthuli,"Albert Luthuli, Mpumalanga",Mpumalanga,B,B4,6252.0,1602.0,256238.0,410.48,433.41,0.947,5.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,26.17,6.04
MP302,Msukaligwa,"Msukaligwa, Mpumalanga",Mpumalanga,B,B2,14185.0,3739.0,263588.0,228.49,338.31,0.675,32.5,qualified,Qualified,3.0,258.23,76.33
MP303,Mkhondo,"Mkhondo, Mpumalanga",Mpumalanga,B,B3,7360.0,2058.0,279620.0,183.29,331.15,0.553,44.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,179.71,54.27
MP304,Pixley Ka Seme (MP),"Pixley Ka Seme (MP), Mpumalanga",Mpumalanga,B,B3,5219.0,1145.0,219391.0,50.28,139.67,0.36,64.0,qualified,Qualified,3.0,10.2,7.3
MP305,Lekwa,"Lekwa, Mpumalanga",Mpumalanga,B,B3,13623.0,3717.0,272847.0,45.74,211.64,0.216,78.4,disclaimer,Disclaimer of opinion,1.0,285.74,135.01
MP306,Dipaleseng,"Dipaleseng, Mpumalanga",Mpumalanga,B,B3,3341.0,700.0,209518.0,36.74,108.65,0.338,66.2,disclaimer,Disclaimer of opinion,1.0,29.41,27.07
MP307,Govan Mbeki,"Govan Mbeki, Mpumalanga",Mpumalanga,B,B1,51775.0,15784.0,304858.0,406.27,585.93,0.693,30.7,qualified,Qualified,3.0,980.3,167.31
MP311,Victor Khanye,"Victor Khanye, Mpumalanga",Mpumalanga,B,B3,7251.0,1949.0,268791.0,65.02,107.01,0.608,39.2,qualified,Qualified,3.0,182.42,170.47
MP312,Emalahleni (MP),"Emalahleni (MP), Mpumalanga",Mpumalanga,B,B1,57522.0,20104.0,349501.0,299.0,672.21,0.445,55.5,qualified,Qualified,3.0,643.61,95.75
MP313,Steve Tshwete,"Steve Tshwete, Mpumalanga",Mpumalanga,B,B1,33147.0,11193.0,337678.0,875.53,990.09,0.884,11.6,unqualified,Unqualified - No findings,5.0,107.08,10.82
MP314,Emakhazeni,"Emakhazeni, Mpumalanga",Mpumalanga,B,B2,2495.0,644.0,258116.0,84.2,163.4,0.515,48.5,adverse,Adverse opinion,2.0,22.64,13.86
MP315,Thembisile Hani,"Thembisile Hani, Mpumalanga",Mpumalanga,B,B4,9599.0,2237.0,233045.0,235.75,345.28,0.683,31.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,20.51,5.94
MP316,Dr J.S. Moroka,"Dr J.S. Moroka, Mpumalanga",Mpumalanga,B,B4,7378.0,1761.0,238683.0,160.67,321.31,0.5,50.0,disclaimer,Disclaimer of opinion,1.0,49.47,15.4
MP321,Thaba Chweu,"Thaba Chweu, Mpumalanga",Mpumalanga,B,B3,9369.0,3442.0,367382.0,133.87,147.18,0.91,9.0,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,336.07,228.34
MP322,Mbombela,"Mbombela, Mpumalanga",Mpumalanga,B,B1,,,,,,,,,,,,
MP323,Umjindi,"Umjindi, Mpumalanga",Mpumalanga,B,B3,,,,,,,,,,,,
MP324,Nkomazi,"Nkomazi, Mpumalanga",Mpumalanga,B,B4,16113.0,4145.0,257246.0,257.59,470.94,0.547,45.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,72.3,15.35
MP325,Bushbuckridge,"Bushbuckridge, Mpumalanga",Mpumalanga,B,B4,16232.0,4186.0,257886.0,369.81,930.91,0.397,60.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,211.57,22.73
MP326,City of Mbombela,"City of Mbombela, Mpumalanga",Mpumalanga,B,B1,64300.0,18950.0,294712.0,631.74,1243.11,0.508,49.2,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,537.11,43.21
NC061,Richtersveld,"Richtersveld, Northern Cape",Northern Cape,B,B3,1005.0,221.0,219900.0,10.38,30.44,0.341,65.9,qualified,Qualified,3.0,28.29,92.94
NC062,Nama Khoi,"Nama Khoi, Northern Cape",Northern Cape,B,B3,5452.0,1413.0,259171.0,49.7,96.92,0.513,48.7,outstanding,Outstanding,0.0,20.62,21.28
NC064,Kamiesberg,"Kamiesberg, Northern Cape",Northern Cape,B,B3,561.0,108.0,192513.0,5.21,36.54,0.143,85.7,qualified,Qualified,3.0,61.74,168.97
NC065,Hantam,"Hantam, Northern Cape",Northern Cape,B,B3,1752.0,342.0,195205.0,79.51,130.03,0.612,38.8,outstanding,Outstanding,0.0,47.98,36.9
NC066,Karoo Hoogland,"Karoo Hoogland, Northern Cape",Northern Cape,B,B3,1616.0,358.0,221535.0,16.05,18.19,0.882,11.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,19.4,106.65
NC067,Khai-Ma,"Khai-Ma, Northern Cape",Northern Cape,B,B3,2828.0,870.0,307638.0,7.61,14.68,0.519,48.1,qualified,Qualified,3.0,8.39,57.15
NC071,Ubuntu,"Ubuntu, Northern Cape",Northern Cape,B,B3,1103.0,221.0,200363.0,17.83,51.84,0.344,65.6,qualified,Qualified,3.0,63.76,122.99
NC072,Umsobomvu,"Umsobomvu, Northern Cape",Northern Cape,B,B3,1506.0,368.0,244356.0,18.8,64.29,0.292,70.8,qualified,Qualified,3.0,38.54,59.95
NC073,Emthanjeni,"Emthanjeni, Northern Cape",Northern Cape,B,B3,3492.0,925.0,264891.0,32.02,29.35,1.091,-9.1,qualified,Qualified,3.0,97.59,332.5
NC074,Kareeberg,"Kareeberg, Northern Cape",Northern Cape,B,B3,710.0,125.0,176056.0,20.62,66.63,0.309,69.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,3.84,5.76
NC075,Renosterberg,"Renosterberg, Northern Cape",Northern Cape,B,B3,729.0,202.0,277092.0,16.18,28.64,0.565,43.5,outstanding,Outstanding,0.0,1.87,6.53
NC076,Thembelihle,"Thembelihle, Northern Cape",Northern Cape,B,B3,1439.0,245.0,170257.0,1.79,34.21,0.052,94.8,qualified,Qualified,3.0,14.65,42.82
NC077,Siyathemba,"Siyathemba, Northern Cape",Northern Cape,B,B3,1547.0,345.0,223012.0,140.92,68.78,2.049,-104.9,qualified,Qualified,3.0,136.97,199.14
NC078,Siyancuma,"Siyancuma, Northern Cape",Northern Cape,B,B3,2468.0,559.0,226499.0,31.87,76.6,0.416,58.4,qualified,Qualified,3.0,68.96,90.03
NC081,Mier,"Mier, Northern Cape",Northern Cape,B,B3,,,,,,,,,,,,
NC082,!Kai! Garib,"!Kai! Garib, Northern Cape",Northern Cape,B,B3,4069.0,971.0,238634.0,20.65,31.35,0.659,34.1,outstanding,Outstanding,0.0,0.0,0.0
NC083,//Khara Hais,"//Khara Hais, Northern Cape",Northern Cape,B,B2,,,,,,,,,,,,
NC084,!Kheis,"!Kheis, Northern Cape",Northern Cape,B,B3,901.0,160.0,177580.0,11.42,30.5,0.374,62.6,outstanding,Outstanding,0.0,36.51,119.7
NC085,Tsantsabane,"Tsantsabane, Northern Cape",Northern Cape,B,B3,4388.0,1737.0,395852.0,80.97,158.2,0.512,48.8,qualified,Qualified,3.0,44.75,28.29
NC086,Kgatelopele,"Kgatelopele, Northern Cape",Northern Cape,B,B3,2151.0,732.0,340307.0,40.84,39.12,1.044,-4.4,outstanding,Outstanding,0.0,2.89,7.39
NC087,Dawid Kruiper,"Dawid Kruiper, Northern Cape",Northern Cape,B,B2,12107.0,3158.0,260841.0,1193.29,225.41,5.294,-429.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,54.75,24.29
NC091,Sol Plaatje,"Sol Plaatje, Northern Cape",Northern Cape,B,B1,35129.0,10795.0,307296.0,346.84,492.64,0.704,29.6,qualified,Qualified,3.0,130.26,26.44
NC092,Dikgatlong,"Dikgatlong, Northern Cape",Northern Cape,B,B3,2223.0,542.0,243815.0,16.96,55.02,0.308,69.2,qualified,Qualified,3.0,104.55,190.02
NC093,Magareng,"Magareng, Northern Cape",Northern Cape,B,B3,1389.0,352.0,253420.0,42.8,76.97,0.556,44.4,qualified,Qualified,3.0,84.9,110.3
NC094,Phokwane,"Phokwane, Northern Cape",Northern Cape,B,B3,4487.0,1143.0,254736.0,54.04,220.92,0.245,75.5,outstanding,Outstanding,0.0,0.0,0.0
NC451,Joe Morolong,"Joe Morolong, Northern Cape",Northern Cape,B,B4,1730.0,703.0,406358.0,89.5,282.74,0.317,68.3,outstanding,Outstanding,0.0,4.42,1.56
NC452,Ga-Segonyana,"Ga-Segonyana, Northern Cape",Northern Cape,B,B3,12519.0,3922.0,313284.0,223.51,254.21,0.879,12.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,86.67,34.09
NC453,Gamagara,"Gamagara, Northern Cape",Northern Cape,B,B3,7782.0,3655.0,469674.0,115.54,88.89,1.3,-30.0,qualified,Qualified,3.0,725.89,816.62
NMA,Nelson Mandela Bay,"Nelson Mandela Bay, Eastern Cape",Eastern Cape,A,A,157336.0,44654.0,283813.0,,,,,qualified,Qualified,3.0,2237.89,
NW371,Moretele,"Moretele, North West",North West,B,B4,4129.0,1048.0,253814.0,168.79,387.83,0.435,56.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,120.73,31.13
NW372,Madibeng,"Madibeng, North West",North West,B,B1,30862.0,10032.0,325060.0,382.61,999.28,0.383,61.7,disclaimer,Disclaimer of opinion,1.0,551.72,55.21
NW373,Rustenburg,"Rustenburg, North West",North West,B,B1,66757.0,23171.0,347095.0,717.35,1191.03,0.602,39.8,qualified,Qualified,3.0,619.07,51.98
NW374,Kgetlengrivier,"Kgetlengrivier, North West",North West,B,B3,2512.0,608.0,242038.0,29.02,60.56,0.479,52.1,disclaimer,Disclaimer of opinion,1.0,226.46,373.94
NW375,Moses Kotane,"Moses Kotane, North West",North West,B,B4,7974.0,2100.0,263356.0,373.41,444.18,0.841,15.9,qualified,Qualified,3.0,466.29,104.98
NW381,Ratlou,"Ratlou, North West",North West,B,B4,1194.0,303.0,253769.0,39.59,66.78,0.593,40.7,disclaimer,Disclaimer of opinion,1.0,92.9,139.11
NW382,Tswaing,"Tswaing, North West",North West,B,B3,4293.0,894.0,208246.0,5.63,75.31,0.075,92.5,qualified,Qualified,3.0,238.96,317.3
NW383,Mafikeng,"Mafikeng, North West",North West,B,B2,18446.0,5931.0,321533.0,150.06,229.25,0.655,34.5,qualified,Qualified,3.0,331.13,144.44
NW384,Ditsobotla,"Ditsobotla, North West",North West,B,B3,9692.0,2549.0,263000.0,41.47,107.19,0.387,61.3,outstanding,Outstanding,0.0,276.59,258.04
NW385,Ramotshere Moiloa,"Ramotshere Moiloa, North West",North West,B,B3,5548.0,1467.0,264420.0,12.33,79.12,0.156,84.4,outstanding,Outstanding,0.0,152.83,193.16
NW392,Naledi (NW),"Naledi (NW), North West",North West,B,B3,5708.0,1305.0,228626.0,16.95,75.94,0.223,77.7,disclaimer,Disclaimer of opinion,1.0,36.73,48.37
NW393,Mamusa,"Mamusa, North West",North West,B,B3,2572.0,572.0,222395.0,5.06,74.37,0.068,93.2,disclaimer,Disclaimer of opinion,1.0,173.7,233.56
NW394,Greater Taung,"Greater Taung, North West",North West,B,B4,6166.0,1646.0,266948.0,93.54,174.48,0.536,46.4,disclaimer,Disclaimer of opinion,1.0,31.46,18.03
NW396,Lekwa-Teemane,"Lekwa-Teemane, North West",North West,B,B3,2614.0,694.0,265493.0,15.62,45.37,0.344,65.6,qualified,Qualified,3.0,301.83,665.26
NW397,Kagisano-Molopo,"Kagisano-Molopo, North West",North West,B,B4,3113.0,785.0,252168.0,27.38,79.73,0.343,65.7,qualified,Qualified,3.0,148.65,186.44
NW401,Ventersdorp,"Ventersdorp, North West",North West,B,B3,,,,,,,,,,,,
NW402,Tlokwe City Council,"Tlokwe City Council, North West",North West,B,B1,,,,,,,,,,,,
NW403,City of Matlosana,"City of Matlosana, North West",North West,B,B1,40659.0,10739.0,264124.0,638.98,814.49,0.785,21.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,1131.75,138.95
NW404,Maquassi Hills,"Maquassi Hills, North West",North West,B,B3,3450.0,614.0,177971.0,48.23,132.56,0.364,63.6,disclaimer,Disclaimer of opinion,1.0,145.6,109.84
NW405,J B Marks,"J B Marks, North West",North West,B,B1,28822.0,8150.0,282770.0,169.55,510.87,0.332,66.8,qualified,Qualified,3.0,365.87,71.62
TSH,City of Tshwane,"City of Tshwane, Gauteng",Gauteng,A,A,554434.0,215439.0,388575.0,6449.88,7695.25,0.838,16.2,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,3490.4,45.36
WC011,Matzikama,"Matzikama, Western Cape",Western Cape,B,B3,5857.0,1617.0,276080.0,52.33,105.04,0.498,50.2,unqualified,Unqualified - No findings,5.0,37.83,36.01
WC012,Cederberg,"Cederberg, Western Cape",Western Cape,B,B3,4007.0,938.0,234090.0,91.26,99.83,0.914,8.6,unqualified,Unqualified - No findings,5.0,18.05,18.08
WC013,Bergrivier,"Bergrivier, Western Cape",Western Cape,B,B3,6190.0,1605.0,259289.0,69.26,102.35,0.677,32.3,unqualified,Unqualified - No findings,5.0,0.86,0.84
WC014,Saldanha Bay,"Saldanha Bay, Western Cape",Western Cape,B,B2,18651.0,4882.0,261755.0,366.74,516.17,0.71,29.0,unqualified,Unqualified - No findings,5.0,0.45,0.09
WC015,Swartland,"Swartland, Western Cape",Western Cape,B,B3,12805.0,3501.0,273409.0,339.23,357.15,0.95,5.0,unqualified,Unqualified - No findings,5.0,28.68,8.03
WC022,Witzenberg,"Witzenberg, Western Cape",Western Cape,B,B3,9121.0,2325.0,254906.0,85.8,149.2,0.575,42.5,unqualified,Unqualified - No findings,5.0,1.94,1.3
WC023,Drakenstein,"Drakenstein, Western Cape",Western Cape,B,B1,37977.0,11884.0,312926.0,569.18,732.2,0.777,22.3,unqualified,Unqualified - No findings,5.0,3.11,0.42
WC024,Stellenbosch,"Stellenbosch, Western Cape",Western Cape,B,B1,24513.0,10113.0,412557.0,382.36,738.63,0.518,48.2,unqualified,Unqualified - No findings,5.0,89.82,12.16
WC025,Breede Valley,"Breede Valley, Western Cape",Western Cape,B,B2,20259.0,5150.0,254208.0,255.73,289.41,0.884,11.6,unqualified,Unqualified - No findings,5.0,0.0,0.0
WC026,Langeberg,"Langeberg, Western Cape",Western Cape,B,B3,9208.0,2195.0,238380.0,160.19,178.79,0.896,10.4,unqualified,Unqualified - No findings,5.0,5.88,3.29
WC031,Theewaterskloof,"Theewaterskloof, Western Cape",Western Cape,B,B3,10981.0,2621.0,238685.0,200.01,355.19,0.563,43.7,unqualified,Unqualified - No findings,5.0,4.48,1.26
WC032,Overstrand,"Overstrand, Western Cape",Western Cape,B,B2,16886.0,4375.0,259090.0,545.09,643.24,0.847,15.3,unqualified,Unqualified - No findings,5.0,15.7,2.44
WC033,Cape Agulhas,"Cape Agulhas, Western Cape",Western Cape,B,B3,4816.0,1181.0,245224.0,123.2,240.46,0.512,48.8,unqualified,Unqualified - No findings,5.0,11.79,4.9
WC034,Swellendam,"Swellendam, Western Cape",Western Cape,B,B3,3875.0,959.0,247484.0,46.85,79.9,0.586,41.4,unqualified,Unqualified - No findings,5.0,23.68,29.64
WC041,Kannaland,"Kannaland, Western Cape",Western Cape,B,B3,1616.0,337.0,208540.0,52.88,82.93,0.638,36.2,outstanding,Outstanding,0.0,31.6,38.1
WC042,Hessequa,"Hessequa, Western Cape",Western Cape,B,B3,7509.0,1650.0,219736.0,185.23,239.76,0.773,22.7,unqualified,Unqualified - No findings,5.0,2.75,1.15
WC043,Mossel Bay,"Mossel Bay, Western Cape",Western Cape,B,B2,21068.0,5387.0,255696.0,615.61,506.01,1.217,-21.7,unqualified,Unqualified - No findings,5.0,57.99,11.46
WC044,George,"George, Western Cape",Western Cape,B,B1,30647.0,7954.0,259536.0,423.65,523.49,0.809,19.1,unqualified,Unqualified - No findings,5.0,89.69,17.13
WC045,Oudtshoorn,"Oudtshoorn, Western Cape",Western Cape,B,B2,10328.0,2530.0,244965.0,126.39,165.61,0.763,23.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,24.61,14.86
WC047,Bitou,"Bitou, Western Cape",Western Cape,B,B3,5500.0,1463.0,266000.0,140.35,157.89,0.889,11.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,79.48,50.34
WC048,Knysna,"Knysna, Western Cape",Western Cape,B,B2,10124.0,2636.0,260371.0,301.14,256.48,1.174,-17.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,77.65,30.28
WC051,Laingsburg,"Laingsburg, Western Cape",Western Cape,B,B3,721.0,125.0,173370.0,67.36,33.42,2.016,-101.6,outstanding,Outstanding,0.0,24.89,74.48
WC052,Prince Albert,"Prince Albert, Western Cape",Western Cape,B,B3,829.0,177.0,213510.0,46.19,45.71,1.011,-1.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,2.02,4.42
WC053,Beaufort West,"Beaufort West, Western Cape",Western Cape,B,B3,4143.0,851.0,205407.0,24.26,56.59,0.429,57.1,outstanding,Outstanding,0.0,127.17,224.72
