demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
MP302,Msukaligwa,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP302,Msukaligwa,2021,irregular,Irregular Expenditure,174767721
MP302,Msukaligwa,2021,unauthorised,Unauthorised Expenditure,83459000
MP303,Mkhondo,2021,fruitless,Fruitless and Wasteful Expenditure,8454831
MP303,Mkhondo,2021,irregular,Irregular Expenditure,12886791
MP303,Mkhondo,2021,unauthorised,Unauthorised Expenditure,158365190
MP304,Pixley Ka Seme (MP),2021,fruitless,Fruitless and Wasteful Expenditure,23378
MP304,Pixley Ka Seme (MP),2021,irregular,Irregular Expenditure,10177404
MP304,Pixley Ka Seme (MP),2021,unauthorised,Unauthorised Expenditure,0
MP305,Lekwa,2021,fruitless,Fruitless and Wasteful Expenditure,11518648
MP305,Lekwa,2021,irregular,Irregular Expenditure,40751096
MP305,Lekwa,2021,unauthorised,Unauthorised Expenditure,233469317
MP306,Dipaleseng,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP306,Dipaleseng,2021,irregular,Irregular Expenditure,3317530
MP306,Dipaleseng,2021,unauthorised,Unauthorised Expenditure,26087611
MP307,Govan Mbeki,2021,fruitless,Fruitless and Wasteful Expenditure,85106221
MP307,Govan Mbeki,2021,irregular,Irregular Expenditure,79610378
MP307,Govan Mbeki,2021,unauthorised,Unauthorised Expenditure,815585332
MP311,Victor Khanye,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP311,Victor Khanye,2021,irregular,Irregular Expenditure,121930026
MP311,Victor Khanye,2021,unauthorised,Unauthorised Expenditure,60489490
MP312,Emalahleni (MP),2021,fruitless,Fruitless and Wasteful Expenditure,0
MP312,Emalahleni (MP),2021,irregular,Irregular Expenditure,198888018
MP312,Emalahleni (MP),2021,unauthorised,Unauthorised Expenditure,444726152
MP313,Steve Tshwete,2021,fruitless,Fruitless and Wasteful Expenditure,70520
MP313,Steve Tshwete,2021,irregular,Irregular Expenditure,0
MP313,Steve Tshwete,2021,unauthorised,Unauthorised Expenditure,107014335
MP314,Emakhazeni,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP314,Emakhazeni,2021,irregular,Irregular Expenditure,22344475
MP314,Emakhazeni,2021,unauthorised,Unauthorised Expenditure,294760
MP315,Thembisile Hani,2021,fruitless,Fruitless and Wasteful Expenditure,39413
MP315,Thembisile Hani,2021,irregular,Irregular Expenditure,20466469
MP315,Thembisile Hani,2021,unauthorised,Unauthorised Expenditure,0
MP316,Dr J.S. Moroka,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP316,Dr J.S. Moroka,2021,irregular,Irregular Expenditure,49465313
MP316,Dr J.S. Moroka,2021,unauthorised,Unauthorised Expenditure,0
MP321,Thaba Chweu,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP321,Thaba Chweu,2021,irregular,Irregular Expenditure,205364591
MP321,Thaba Chweu,2021,unauthorised,Unauthorised Expenditure,130702206
MP324,Nkomazi,2021,fruitless,Fruitless and Wasteful Expenditure,18221
MP324,Nkomazi,2021,irregular,Irregular Expenditure,38330542
MP324,Nkomazi,2021,unauthorised,Unauthorised Expenditure,33953290
MP325,Bushbuckridge,2021,fruitless,Fruitless and Wasteful Expenditure,31560
MP325,Bushbuckridge,2021,irregular,Irregular Expenditure,211536197
MP325,Bushbuckridge,2021,unauthorised,Unauthorised Expenditure,0
MP326,City of Mbombela,2021,fruitless,Fruitless and Wasteful Expenditure,0
MP326,City of Mbombela,2021,irregular,Irregular Expenditure,50788204
MP326,City of Mbombela,2021,unauthorised,Unauthorised Expenditure,486319531
NC061,Richtersveld,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC061,Richtersveld,2021,irregular,Irregular Expenditure,8239883
NC061,Richtersveld,2021,unauthorised,Unauthorised Expenditure,20050050
NC062,Nama Khoi,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC062,Nama Khoi,2021,irregular,Irregular Expenditure,3954351
NC062,Nama Khoi,2021,unauthorised,Unauthorised Expenditure,16661252
NC064,Kamiesberg,2021,fruitless,Fruitless and Wasteful Expenditure,751299
NC064,Kamiesberg,2021,irregular,Irregular Expenditure,31681868
NC064,Kamiesberg,2021,unauthorised,Unauthorised Expenditure,29307899
NC065,Hantam,2021,fruitless,Fruitless and Wasteful Expenditure,419
NC065,Hantam,2021,irregular,Irregular Expenditure,45734634
NC065,Hantam,2021,unauthorised,Unauthorised Expenditure,2248077
NC066,Karoo Hoogland,2021,fruitless,Fruitless and Wasteful Expenditure,1100
NC066,Karoo Hoogland,2021,irregular,Irregular Expenditure,8557831
NC066,Karoo Hoogland,2021,unauthorised,Unauthorised Expenditure,10838507
NC067,Khai-Ma,2021,fruitless,Fruitless and Wasteful Expenditure,799513
NC067,Khai-Ma,2021,irregular,Irregular Expenditure,2075762
NC067,Khai-Ma,2021,unauthorised,Unauthorised Expenditure,5519149
NC071,Ubuntu,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC071,Ubuntu,2021,irregular,Irregular Expenditure,23715832
NC071,Ubuntu,2021,unauthorised,Unauthorised Expenditure,40046760
NC072,Umsobomvu,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC072,Umsobomvu,2021,irregular,Irregular Expenditure,10716472
NC072,Umsobomvu,2021,unauthorised,Unauthorised Expenditure,27818818
NC073,Emthanjeni,2021,fruitless,Fruitless and Wasteful Expenditure,89617
NC073,Emthanjeni,2021,irregular,Irregular Expenditure,9628128
NC073,Emthanjeni,2021,unauthorised,Unauthorised Expenditure,87873319
NC074,Kareeberg,2021,fruitless,Fruitless and Wasteful Expenditure,1496651
NC074,Kareeberg,2021,irregular,Irregular Expenditure,2343735
NC074,Kareeberg,2021,unauthorised,Unauthorised Expenditure,0
NC075,Renosterberg,2021,fruitless,Fruitless and Wasteful Expenditure,1869765
NC075,Renosterberg,2021,irregular,Irregular Expenditure,0
NC075,Renosterberg,2021,unauthorised,Unauthorised Expenditure,0
NC076,Thembelihle,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC076,Thembelihle,2021,irregular,Irregular Expenditure,4022962
NC076,Thembelihle,2021,unauthorised,Unauthorised Expenditure,10625564
NC077,Siyathemba,2021,fruitless,Fruitless and Wasteful Expenditure,112459
NC077,Siyathemba,2021,irregular,Irregular Expenditure,69697668
NC077,Siyathemba,2021,unauthorised,Unauthorised Expenditure,67157509
NC078,Siyancuma,2021,fruitless,Fruitless and Wasteful Expenditure,1714097
NC078,Siyancuma,2021,irregular,Irregular Expenditure,13173019
NC078,Siyancuma,2021,unauthorised,Unauthorised Expenditure,54068110
NC082,!Kai! Garib,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC082,!Kai! Garib,2021,irregular,Irregular Expenditure,0
NC082,!Kai! Garib,2021,unauthorised,Unauthorised Expenditure,0
NC084,!Kheis,2021,fruitless,Fruitless and Wasteful Expenditure,2725930
NC084,!Kheis,2021,irregular,Irregular Expenditure,33785427
NC084,!Kheis,2021,unauthorised,Unauthorised Expenditure,0
NC085,Tsantsabane,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC085,Tsantsabane,2021,irregular,Irregular Expenditure,0
NC085,Tsantsabane,2021,unauthorised,Unauthorised Expenditure,44750238
NC086,Kgatelopele,2021,fruitless,Fruitless and Wasteful Expenditure,597864
NC086,Kgatelopele,2021,irregular,Irregular Expenditure,2293497
NC086,Kgatelopele,2021,unauthorised,Unauthorised Expenditure,0
NC087,Dawid Kruiper,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC087,Dawid Kruiper,2021,irregular,Irregular Expenditure,2931993
NC087,Dawid Kruiper,2021,unauthorised,Unauthorised Expenditure,51817779
NC091,Sol Plaatje,2021,fruitless,Fruitless and Wasteful Expenditure,13693326
NC091,Sol Plaatje,2021,irregular,Irregular Expenditure,116568677
NC091,Sol Plaatje,2021,unauthorised,Unauthorised Expenditure,0
NC092,Dikgatlong,2021,fruitless,Fruitless and Wasteful Expenditure,393506
NC092,Dikgatlong,2021,irregular,Irregular Expenditure,1060509
NC092,Dikgatlong,2021,unauthorised,Unauthorised Expenditure,103093132
NC093,Magareng,2021,fruitless,Fruitless and Wasteful Expenditure,852562
NC093,Magareng,2021,irregular,Irregular Expenditure,26104553
NC093,Magareng,2021,unauthorised,Unauthorised Expenditure,57943576
NC094,Phokwane,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC094,Phokwane,2021,irregular,Irregular Expenditure,0
NC094,Phokwane,2021,unauthorised,Unauthorised Expenditure,0
NC451,Joe Morolong,2021,fruitless,Fruitless and Wasteful Expenditure,106582
NC451,Joe Morolong,2021,irregular,Irregular Expenditure,4065059
NC451,Joe Morolong,2021,unauthorised,Unauthorised Expenditure,249407
NC452,Ga-Segonyana,2021,fruitless,Fruitless and Wasteful Expenditure,0
NC452,Ga-Segonyana,2021,irregular,Irregular Expenditure,18864640
NC452,Ga-Segonyana,2021,unauthorised,Unauthorised Expenditure,67810223
NC453,Gamagara,2021,fruitless,Fruitless and Wasteful Expenditure,2400000
NC453,Gamagara,2021,irregular,Irregular Expenditure,673691381
NC453,Gamagara,2021,unauthorised,Unauthorised Expenditure,49796070
NMA,Nelson Mandela Bay,2021,fruitless,Fruitless and Wasteful Expenditure,999816
NMA,Nelson Mandela Bay,2021,irregular,Irregular Expenditure,1389805210
NMA,Nelson Mandela Bay,2021,unauthorised,Unauthorised Expenditure,847087284
NW371,Moretele,2021,fruitless,Fruitless and Wasteful Expenditure,941314
NW371,Moretele,2021,irregular,Irregular Expenditure,47191775
NW371,Moretele,2021,unauthorised,Unauthorised Expenditure,72597000
NW372,Madibeng,2021,fruitless,Fruitless and Wasteful Expenditure,22679006
NW372,Madibeng,2021,irregular,Irregular Expenditure,529040614
NW372,Madibeng,2021,unauthorised,Unauthorised Expenditure,0
NW373,Rustenburg,2021,fruitless,Fruitless and Wasteful Expenditure,4478000
NW373,Rustenburg,2021,irregular,Irregular Expenditure,614594000
NW373,Rustenburg,2021,unauthorised,Unauthorised Expenditure,0
NW374,Kgetlengrivier,2021,fruitless,Fruitless and Wasteful Expenditure,0
NW374,Kgetlengrivier,2021,irregular,Irregular Expenditure,100247417
NW374,Kgetlengrivier,2021,unauthorised,Unauthorised Expenditure,126213876
NW375,Moses Kotane,2021,fruitless,Fruitless and Wasteful Expenditure,101610737
NW375,Moses Kotane,2021,irregular,Irregular Expenditure,231435794
NW375,Moses Kotane,2021,unauthorised,Unauthorised Expenditure,133238930
NW381,Ratlou,2021,fruitless,Fruitless and Wasteful Expenditure,69670
NW381,Ratlou,2021,irregular,Irregular Expenditure,92830421
NW381,Ratlou,2021,unauthorised,Unauthorised Expenditure,0
NW382,Tswaing,2021,fruitless,Fruitless and Wasteful Expenditure,7044293
NW382,Tswaing,2021,irregular,Irregular Expenditure,115428031
NW382,Tswaing,2021,unauthorised,Unauthorised Expenditure,116486966
NW383,Mafikeng,2021,fruitless,Fruitless and Wasteful Expenditure,559695
NW383,Mafikeng,2021,irregular,Irregular Expenditure,209770249
NW383,Mafikeng,2021,unauthorised,Unauthorised Expenditure,120803265
NW384,Ditsobotla,2021,fruitless,Fruitless and Wasteful Expenditure,19148746
NW384,Ditsobotla,2021,irregular,Irregular Expenditure,195711038
NW384,Ditsobotla,2021,unauthorised,Unauthorised Expenditure,61725999
NW385,Ramotshere Moiloa,2021,fruitless,Fruitless and Wasteful Expenditure,2383099
NW385,Ramotshere Moiloa,2021,irregular,Irregular Expenditure,149467424
NW385,Ramotshere Moiloa,2021,unauthorised,Unauthorised Expenditure,980250
NW392,Naledi (NW),2021,fruitless,Fruitless and Wasteful Expenditure,19093803
NW392,Naledi (NW),2021,irregular,Irregular Expenditure,7504311
NW392,Naledi (NW),2021,unauthorised,Unauthorised Expenditure,10129849
NW393,Mamusa,2021,fruitless,Fruitless and Wasteful Expenditure,15431815
NW393,Mamusa,2021,irregular,Irregular Expenditure,54101526
NW393,Mamusa,2021,unauthorised,Unauthorised Expenditure,104164221
NW394,Greater Taung,2021,fruitless,Fruitless and Wasteful Expenditure,70981
NW394,Greater Taung,2021,irregular,Irregular Expenditure,1456873
NW394,Greater Taung,2021,unauthorised,Unauthorised Expenditure,29929109
NW396,Lekwa-Teemane,2021,fruitless,Fruitless and Wasteful Expenditure,3156934
NW396,Lekwa-Teemane,2021,irregular,Irregular Expenditure,78557939
NW396,Lekwa-Teemane,2021,unauthorised,Unauthorised Expenditure,220112453
NW397,Kagisano-Molopo,2021,fruitless,Fruitless and Wasteful Expenditure,24368
NW397,Kagisano-Molopo,2021,irregular,Irregular Expenditure,113463617
NW397,Kagisano-Molopo,2021,unauthorised,Unauthorised Expenditure,35157052
NW403,City of Matlosana,2021,fruitless,Fruitless and Wasteful Expenditure,274306
NW403,City of Matlosana,2021,irregular,Irregular Expenditure,489028859
NW403,City of Matlosana,2021,unauthorised,Unauthorised Expenditure,642450889
NW404,Maquassi Hills,2021,fruitless,Fruitless and Wasteful Expenditure,2698371
NW404,Maquassi Hills,2021,irregular,Irregular Expenditure,109910379
NW404,Maquassi Hills,2021,unauthorised,Unauthorised Expenditure,32995777
NW405,J B Marks,2021,fruitless,Fruitless and Wasteful Expenditure,616620
NW405,J B Marks,2021,irregular,Irregular Expenditure,364709765
NW405,J B Marks,2021,unauthorised,Unauthorised Expenditure,542310
TSH,City of Tshwane,2021,fruitless,Fruitless and Wasteful Expenditure,221559102
TSH,City of Tshwane,2021,irregular,Irregular Expenditure,2702803906
TSH,City of Tshwane,2021,unauthorised,Unauthorised Expenditure,566041443
WC011,Matzikama,2021,fruitless,Fruitless and Wasteful Expenditure,1808376
WC011,Matzikama,2021,irregular,Irregular Expenditure,30019307
WC011,Matzikama,2021,unauthorised,Unauthorised Expenditure,6000343
WC012,Cederberg,2021,fruitless,Fruitless and Wasteful Expenditure,3511254
WC012,Cederberg,2021,irregular,Irregular Expenditure,12793616
WC012,Cederberg,2021,unauthorised,Unauthorised Expenditure,1749171
WC013,Bergrivier,2021,fruitless,Fruitless and Wasteful Expenditure,297
WC013,Bergrivier,2021,irregular,Irregular Expenditure,94750
WC013,Bergrivier,2021,unauthorised,Unauthorised Expenditure,764459
WC014,Saldanha Bay,2021,fruitless,Fruitless and Wasteful Expenditure,25356
WC014,Saldanha Bay,2021,irregular,Irregular Expenditure,427960
WC014,Saldanha Bay,2021,unauthorised,Unauthorised Expenditure,0
WC015,Swartland,2021,fruitless,Fruitless and Wasteful Expenditure,10767
WC015,Swartland,2021,irregular,Irregular Expenditure,15407005
WC015,Swartland,2021,unauthorised,Unauthorised Expenditure,13258009
WC022,Witzenberg,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC022,Witzenberg,2021,irregular,Irregular Expenditure,0
WC022,Witzenberg,2021,unauthorised,Unauthorised Expenditure,1935841
WC023,Drakenstein,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC023,Drakenstein,2021,irregular,Irregular Expenditure,3113057
WC023,Drakenstein,2021,unauthorised,Unauthorised Expenditure,0
WC024,Stellenbosch,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC024,Stellenbosch,2021,irregular,Irregular Expenditure,89820222
WC024,Stellenbosch,2021,unauthorised,Unauthorised Expenditure,0
WC025,Breede Valley,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC025,Breede Valley,2021,irregular,Irregular Expenditure,0
WC025,Breede Valley,2021,unauthorised,Unauthorised Expenditure,0
WC026,Langeberg,2021,fruitless,Fruitless and Wasteful Expenditure,77599
WC026,Langeberg,2021,irregular,Irregular Expenditure,1096656
WC026,Langeberg,2021,unauthorised,Unauthorised Expenditure,4707818
WC031,Theewaterskloof,2021,fruitless,Fruitless and Wasteful Expenditure,1850
WC031,Theewaterskloof,2021,irregular,Irregular Expenditure,4477211
WC031,Theewaterskloof,2021,unauthorised,Unauthorised Expenditure,0
WC032,Overstrand,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC032,Overstrand,2021,irregular,Irregular Expenditure,1450910
WC032,Overstrand,2021,unauthorised,Unauthorised Expenditure,14253808
WC033,Cape Agulhas,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC033,Cape Agulhas,2021,irregular,Irregular Expenditure,4150289
WC033,Cape Agulhas,2021,unauthorised,Unauthorised Expenditure,7635586
WC034,Swellendam,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC034,Swellendam,2021,irregular,Irregular Expenditure,19836140
WC034,Swellendam,2021,unauthorised,Unauthorised Expenditure,3844185
WC041,Kannaland,2021,fruitless,Fruitless and Wasteful Expenditure,3441178
WC041,Kannaland,2021,irregular,Irregular Expenditure,21459507
WC041,Kannaland,2021,unauthorised,Unauthorised Expenditure,6699423
WC042,Hessequa,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC042,Hessequa,2021,irregular,Irregular Expenditure,121276
WC042,Hessequa,2021,unauthorised,Unauthorised Expenditure,2631310
WC043,Mossel Bay,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC043,Mossel Bay,2021,irregular,Irregular Expenditure,43117726
WC043,Mossel Bay,2021,unauthorised,Unauthorised Expenditure,14868611
WC044,George,2021,fruitless,Fruitless and Wasteful Expenditure,21703
WC044,George,2021,irregular,Irregular Expenditure,5532526
WC044,George,2021,unauthorised,Unauthorised Expenditure,84133628
WC045,Oudtshoorn,2021,fruitless,Fruitless and Wasteful Expenditure,0
WC045,Oudtshoorn,2021,irregular,Irregular Expenditure,24614634
WC045,Oudtshoorn,2021,unauthorised,Unauthorised Expenditure,0
WC047,Bitou,2021,fruitless,Fruitless and Wasteful Expenditure,102577
WC047,Bitou,2021,irregular,Irregular Expenditure,44080048
WC047,Bitou,2021,unauthorised,Unauthorised Expenditure,35293700
WC048,Knysna,2021,fruitless,Fruitless and Wasteful Expenditure,32340
WC048,Knysna,2021,irregular,Irregular Expenditure,67700043
WC048,Knysna,2021,unauthorised,Unauthorised Expenditure,9922302
WC051,Laingsburg,2021,fruitless,Fruitless and Wasteful Expenditure,728865
WC051,Laingsburg,2021,irregular,Irregular Expenditure,13860538
WC051,Laingsburg,2021,unauthorised,Unauthorised Expenditure,10299062
WC052,Prince Albert,2021,fruitless,Fruitless and Wasteful Expenditure,93716
WC052,Prince Albert,2021,irregular,Irregular Expenditure,842695
WC052,Prince Albert,2021,unauthorised,Unauthorised Expenditure,1079611
WC053,Beaufort West,2021,fruitless,Fruitless and Wasteful Expenditure,2981
WC053,Beaufort West,2021,irregular,Irregular Expenditure,23272530
WC053,Beaufort West,2021,unauthorised,Unauthorised Expenditure,103898922
